"Data Source:","http://breachlevelindex.com/#!breach-database","Retrieved February 23, 2015",,,,,,
723,"St. Mary's Hospital",01/25/14,1700,"United States","Healthcare","Malicious Outsider","Identity Theft",5.1
724,"Department of Social and Health Services (DSHS)",12/19/13,7000,"United States","Government","Accidental Loss","Identity Theft",5.1
725,"Hope Family Health",10/04/13,8000,"United States","Healthcare","Malicious Outsider","Identity Theft",5.1
726,"Milwaukee Public School District,Express Scripts",09/18/13,6000,"United States","Government","Accidental Loss","Identity Theft",5.1
727,"LexisNexis, Dun & Bradstreet, Kroll Background America, Inc",09/10/13,739,"United States","Other","Malicious Outsider","Identity Theft",5.1
728,"Advanced Data Processing Inc, Valparaiso Fire Department",08/27/13,860,"United States","Healthcare","Malicious Outsider","Identity Theft",5.1
729,"University Hospitals",08/08/13,7100,"United States","Healthcare","Malicious Outsider","Identity Theft",5.1
730,"Denver counselor's office",07/17/13,1500,"United States","Healthcare","Malicious Outsider","Identity Theft",5.1
731,"University of North Carolina at Chapel Hill",07/04/13,6000,"United States","Education","Accidental Loss","Identity Theft",5.1
732,"BriovaRx",07/03/13,1067,"United States","Healthcare","Malicious Insider","Identity Theft",5.1
733,"Broward Health Medical Center",06/07/13,1000,"United States","Healthcare","Malicious Insider","Identity Theft",5.1
734,"SynerMed , Inland Empire Health Plan",05/21/13,1566,"United States","Healthcare","Malicious Outsider","Identity Theft",5.1
735,"University of Massachusetts",05/14/13,1700,"United States","Other","Malicious Outsider","Identity Theft",5.1
736,"Umass Center",05/14/13,1670,"United States","Other","Malicious Outsider","Identity Theft",5.1
737,"The Guidance Center of Westchester",04/22/13,1416,"United States","Healthcare","Malicious Outsider","Identity Theft",5.1
738,"The Honolulu Police Department (HPD)",04/14/13,3500,"United States","Government","Malicious Outsider","Account Access",5.1
739,"Uriminzokkiri.com",03/15/13,15000,"North Korea","Other","Hacktivist","Identity Theft",5.1
740,"Monfort",03/13/13,25000,"United States","Healthcare","Unknown","Nuisance",5.1
741,"Tallahassee Community College",02/19/13,3300,"United States","Other","Malicious Outsider","Nuisance",5.1
742,"University of North Carolina",02/13/13,3500,"United States","Other","Unknown","Identity Theft",5.1
743,"Kindred Healthcare Inc",02/13/13,716,"United States","Healthcare","Malicious Outsider","Identity Theft",5.1
744,"Webcam",11/10/14,700,"Singapore","Technology","Malicious Outsider","Identity Theft",5
745,"Blue Zebra Sports",10/31/14,1218,"United States","Other","Malicious Insider","Financial Access",5
746,"The Hearing Zone",10/08/14,623,"United States","Healthcare","Malicious Outsider","Identity Theft",5
747,"Community Technology Alliance",10/06/14,1177,"United States","Technology","Malicious Outsider","Identity Theft",5
748,"California Pacific Medical Center",10/04/14,844,"United States","Healthcare","Malicious Insider","Identity Theft",5
749,"Alabama state",10/02/14,3000,"United States","Government","Malicious Insider","Nuisance",5
750,"WakeMed, Cape Fear Valley Health System",09/25/14,5284,"United States","Healthcare","Accidental Loss","Identity Theft",5
751,"Aberdeen Royal Infirmary",08/30/14,1400,"United Kingdom","Healthcare","Malicious Outsider","Identity Theft",5
752,"Otto Pizza",08/13/14,900,"United States","Retail","Malicious Outsider","Financial Access",5
753,"Avitron.fr",08/01/14,2400,"France","Technology","Malicious Outsider","Account Access",5
754,"VA Long Beach Healthcare",07/08/14,592,"United States","Government","Malicious Outsider","Identity Theft",5
755,"Penn Medicine Rittenhouse",06/17/14,661,"United States","Healthcare","Malicious Outsider","Identity Theft",5
756,"Bay Area Pain Medical Associates",05/19/14,2780,"United States","Healthcare","Malicious Outsider","Nuisance",5
757,"Fairfax County",05/14/14,595,"United States","Healthcare","Malicious Outsider","Identity Theft",5
758,"University of Nottingham",05/14/14,4751,"United Kingdom","Education","Accidental Loss","Identity Theft",5
759,"Moca Asian Bistro",04/08/14,1000,"United States","Retail","Malicious Insider","Financial Access",5
760,"Orange Community MRI, Vcarve (MD Manage)",04/06/14,585,"United States","Healthcare","Malicious Outsider","Identity Theft",5
761,"State of Alabama",04/05/14,3000,"United States","Government","Malicious Insider","Nuisance",5
762,"Molina",03/15/14,5261,"United States","Healthcare","Accidental Loss","Identity Theft",5
763,"CITY restaurant",03/05/14,1000,"China","Other","Malicious Insider","Financial Access",5
764,"Tesco",02/13/14,2239,"United Kingdom","Technology","Malicious Outsider","Account Access",5
765,"NOVA Chiropractic & Rehab Center",01/30/14,5534,"United States","Healthcare","Accidental Loss","Identity Theft",5
766,"Indian websites",01/29/14,2118,"India","Other","State Sponsored","Nuisance",5
767,"Florida Healthy Kids Corporation, Policy Studies, Inc. / Postal Center International, Inc",01/29/14,580,"United States","Healthcare","Malicious Outsider","Identity Theft",5
768,"U.S. Department of Veterans Affairs",01/17/14,5351,"United States","Government","Accidental Loss","Identity Theft",5
769,"Provo City School District",01/10/14,1400,"United States","Education","Malicious Outsider","Account Access",5
770,"Gemscool",01/08/14,1234,"Indonesia","Technology","Malicious Outsider","Account Access",5
771,"Southwest Virginia Physicians for Women",01/02/14,568,"United States","Healthcare","Malicious Outsider","Identity Theft",5
772,"Tullamore Credit Union",12/26/13,4971,"United Kingdom","Financial","Accidental Loss","Identity Theft",5
773,"Standard Chartered Bank",12/04/13,647,"Singapore","Financial","Malicious Outsider","Identity Theft",5
774,"Riverside Health System",11/01/13,919,"United States","Healthcare","Malicious Insider","Identity Theft",5
775,"Fidelity Life",11/01/13,1200,"New Zealand","Healthcare","Malicious Outsider","Identity Theft",5
776,"Anthem Blue Cross of California",10/23/13,24500,"United States","Healthcare","Accidental Loss","Identity Theft",5
777,"UHS-Pruitt Corporation",09/26/13,1300,"United States","Healthcare","Malicious Outsider","Identity Theft",5
778,"St. Mary's Janesville Hospital",09/24/13,629,"United States","Healthcare","Malicious Outsider","Identity Theft",5
779,"Donald K. Johnson Eye Centre",09/14/13,18000,"Canada","Healthcare","Accidental Loss","Nuisance",5
780,"Comprehensive Podiatry",08/23/13,1360,"United States","Healthcare","Malicious Outsider","Identity Theft",5
781,"Georgia Department of Labor",08/14/13,4457,"United States","Government","Accidental Loss","Identity Theft",5
782,"US Airways Group",07/31/13,7700,"United States","Other","Malicious Outsider","Financial Access",5
783,"Sheet Metal Local 36 Welfare Fund",07/03/13,4560,"United States","Healthcare","Malicious Outsider","Nuisance",5
784,"Citi Bike Acknowledges",07/02/13,1174,"United States","Other","Malicious Outsider","Identity Theft",5
785,"Houston govt, US Airways",07/01/13,5000,"United States","Government","Accidental Loss","Identity Theft",5
786,"The city of Houston",05/29/13,5000,"United States","Government","Accidental Loss","Identity Theft",5
787,"Harbor Group, Orthopedics & Adult Reconstructive Surgery",04/19/13,22000,"United States","Healthcare","Accidental Loss","Nuisance",5
788,"State drivers license",02/13/13,805,"United States","Government","Malicious Insider","Identity Theft",5
789,"South Miami Hospital",02/13/13,834,"United States","Healthcare","Malicious Insider","Identity Theft",5
790,"Salem State University",02/13/13,25000,"United States","Other","Malicious Outsider","Nuisance",5
791,"Department Of Human Services",02/13/13,683,"United States","Government","Malicious Outsider","Identity Theft",5
792,"Human Resources",02/12/13,5049,"Canada","Government","Accidental Loss","Identity Theft",5
793,"Minecraft (Microsoft )",01/23/15,1800,"United States","Technology","Malicious Outsider","Account Access",4.9
794,"Aquamarine Boat",01/15/15,2060,"United States","Retail","Malicious Outsider","Account Access",4.9
795,"The National Accountable Care Congress",01/07/15,900,"United States","Government","Malicious Outsider","Identity Theft",4.9
796,"University Hospitals",11/28/14,692,"United States","Healthcare","Malicious Insider","Identity Theft",4.9
797,"Orange UK",11/11/14,1066,"United Kingdom","Retail","Malicious Outsider","Account Access",4.9
798,"Inland Empire Health Plan- IEHP (Children's Eyewear Sight)",10/28/14,1030,"United States","Healthcare","Malicious Outsider","Identity Theft",4.9
799,"Tallassee residents",10/14/14,700,"United States","Other","Malicious Outsider","Financial Access",4.9
800,"Texas VA",10/10/14,4000,"United States","Healthcare","Accidental Loss","Identity Theft",4.9
801,"Madison Street Provider Network, Omni Eye Specialists.Madison Street Surgery, Spivack Vision Center",09/27/14,523,"United States","Healthcare","Malicious Outsider","Identity Theft",4.9
802,"Tampa General hospital",09/12/14,675,"United States","Healthcare","Malicious Insider","Identity Theft",4.9
803,"Midwest Urological Group",08/25/14,982,"United States","Healthcare","Malicious Outsider","Identity Theft",4.9
804,"Dublin university",07/15/14,1000,"United Kingdom","Education","Malicious Outsider","Account Access",4.9
805,"VA South Carolina",07/14/14,3637,"United States","Healthcare","Accidental Loss","Identity Theft",4.9
806,"Dorn Veterans Administration Hospital",07/14/14,2179,"United States","Healthcare","Accidental Loss","Identity Theft",4.9
807,"University of Newcastle",07/04/14,4300,"Australia","Education","Accidental Loss","Identity Theft",4.9
808,"Bank of Nova Scotia (Ontario bank)",07/04/14,643,"Canada","Financial","Malicious Insider","Identity Theft",4.9
809,"Sydney taxi",07/02/14,800,"Australia","Other","Malicious Insider","Financial Access",4.9
810,"Rite Aid",06/30/14,521,"United States","Healthcare","Malicious Outsider","Identity Theft",4.9
811,"Department of Public Health",06/26/14,500,"United States","Government","Malicious Outsider","Identity Theft",4.9
812,"Netflix",06/15/14,1800,"United States","Other","Malicious Outsider","Account Access",4.9
813,"Mallott campaign",05/31/14,1000,"United States","Other","Malicious Outsider","Identity Theft",4.9
814,"Twitter",04/23/14,2000,"United States","Technology","Malicious Outsider","Nuisance",4.9
815,"Highmark Inc, Security Blue and Freedom Blue",04/07/14,3675,"United States","Healthcare","Accidental Loss","Identity Theft",4.9
816,"Bitcoin wallet service",04/02/14,2000,"United Kingdom","Financial","Malicious Outsider","Account Access",4.9
817,"ProMedica Bay Park Hospital",04/01/14,600,"United States","Healthcare","Malicious Insider","Identity Theft",4.9
818,"Carlson Rezidor Hotel Group (Club Carlson Gold Points)",03/26/14,650,"Brussels","Other","Malicious Outsider","Financial Access",4.9
819,"Internal Revenue Service (IRS)",03/18/14,20000,"United States","Government","Accidental Loss","Identity Theft",4.9
820,"Howard L. Weinstein D.P.M.",03/14/14,1000,"United States","Healthcare","Malicious Outsider","Identity Theft",4.9
821,"Service Alternatives",03/07/14,550,"United States","Other","Malicious Outsider","Identity Theft",4.9
822,"Blue Cross and Blue Shield of Michigan",03/03/14,502,"United States","Healthcare","Malicious Outsider","Identity Theft",4.9
823,"Anderson Cancer Center, University of Texas MD",02/12/14,3598,"United States","Healthcare","Accidental Loss","Identity Theft",4.9
824,"Restaurant and Gas Station",02/10/14,680,"Canada","Other","Malicious Outsider","Financial Access",4.9
825,"Valley View Hospital",01/23/14,5400,"United States","Healthcare","Malicious Outsider","Identity Theft",4.9
826,"Wireless Emporium, Cellular Outfitter",01/19/14,715,"United States","Technology","Malicious Outsider","Financial Access",4.9
827,"Turkcell",01/18/14,4165,"United States","Government","Malicious Outsider","Nuisance",4.9
828,"Directors Guild of Canada (DGC)",01/06/14,2031,"Canada","Technology","Malicious Outsider","Account Access",4.9
829,"Tennessee Department of Treasury",12/13/13,6300,"United States","Education","Malicious Insider","Identity Theft",4.9
830,"University of Pittsburgh Medical Center (UPMC)",11/26/13,1300,"United States","Healthcare","Malicious Insider","Identity Theft",4.9
831,"Hospice of the Chesapeake",10/19/13,500,"United States","Healthcare","Malicious Outsider","Identity Theft",4.9
832,"The West Australian, Loretto Telecom, Mound Telecom",10/02/13,2100,"Australia","Other","Malicious Outsider","Account Access",4.9
833,"Barnabas Health, Pediatric Specialty Center",09/24/13,1100,"United States","Healthcare","Malicious Outsider","Identity Theft",4.9
834,"Texas Health Presbyterian Dallas Hospital",08/22/13,949,"United States","Healthcare","Malicious Outsider","Identity Theft",4.9
835,"Hancock OB/GYN",08/05/13,1396,"United States","Healthcare","Malicious Insider","Identity Theft",4.9
836,"Hope Community Resources of Alaska",08/03/13,3700,"United States","Healthcare","Accidental Loss","Identity Theft",4.9
837,"Oak Bay",07/15/13,1000,"Canada","Other","Malicious Outsider","Identity Theft",4.9
838,"Xbox One Mag",07/10/13,2035,"France","Technology","Malicious Outsider","Account Access",4.9
839,"The commonwealth bank",06/05/13,1900,"United Kingdom","Financial","Malicious Outsider","Account Access",4.9
840,"Auto-Dress",05/20/13,1800,"Russia","Other","Malicious Outsider","Account Access",4.9
841,"Shumsky",05/16/13,1400,"United States","Retail","Malicious Outsider","Financial Access",4.9
842,"ZDI, Delta Dental of Pennsylvania",04/20/13,14829,"United States","Healthcare","Accidental Loss","Nuisance",4.9
843,"Constantin Film",03/25/13,2000,"Germany","Other","Hacktivist","Account Access",4.9
844,"Hospital for Special Surgery",03/19/13,537,"United States","Healthcare","Malicious Outsider","Identity Theft",4.9
845,"Comfort Dental",02/15/13,7000,"United States","Healthcare","Malicious Insider","Identity Theft",4.9
846,"Everything Everywhere's (EE)",11/11/14,1065,"United Kingdom","Other","Malicious Insider","Account Access",4.8
847,"Score Sports",10/23/14,500,"United States","Retail","Malicious Outsider","Financial Access",4.8
848,"Colorado health",10/10/14,15000,"United States","Healthcare","Accidental Loss","Identity Theft",4.8
849,"Heatmiser WiFi thermostats",09/23/14,7000,"United Kingdom","Retail","Accidental Loss","Account Access",4.8
850,"Arlington Dentist's Office (Dr. Vonica Chau �s office )",08/23/14,810,"United States","Healthcare","Malicious Outsider","Identity Theft",4.8
851,"City of Beloit",08/20/14,843,"United States","Government","Malicious Outsider","Identity Theft",4.8
852,"Memorial Healthcare System (Gastroenterology Consultants)",08/14/14,2000,"United States","Healthcare","Malicious Insider","Nuisance",4.8
853,"ENT Partners of Texas",07/11/14,789,"United States","Healthcare","Malicious Outsider","Identity Theft",4.8
854,"Urological Associates of Southern Arizona",05/06/14,3000,"United States","Healthcare","Accidental Loss","Identity Theft",4.8
855,"South Central Ambulance Service (SCAS)",04/24/14,2826,"United Kingdom","Other","Accidental Loss","Identity Theft",4.8
856,"Walgreens",04/14/14,540,"United States","Retail","Malicious Insider","Identity Theft",4.8
857,"BBC",04/02/14,1000,"United Kingdom","Other","Malicious Insider","Identity Theft",4.8
858,"Highlands Regional Medical Center",03/20/14,500,"United States","Healthcare","Malicious Insider","Identity Theft",4.8
859,"BioReference Laboratories (CareEvolve)",03/19/14,3334,"United States","Healthcare","Accidental Loss","Identity Theft",4.8
860,"Emory Healthcare",02/07/14,825,"United States","Healthcare","Malicious Outsider","Identity Theft",4.8
861,"TTNET, Vodafone and Turkcell",02/03/14,680,"Turkey","Other","Malicious Outsider","Existential Data",4.8
862,"JPMorgan Chase & Co. and Wells Fargo banks",01/22/14,400,"United States","Financial","Malicious Outsider","Identity Theft",4.8
863,"State Farm auto",09/06/13,687,"United States","Financial","Malicious Insider","Financial Access",4.8
864,"Penn State Great Valley",08/06/13,707,"United States","Other","Malicious Outsider","Identity Theft",4.8
865,"REDENET Institute",06/15/13,1645,"Brazil","Technology","Malicious Outsider","Account Access",4.8
866,"Illinois Department of Healthcare and Family Services",06/14/13,3100,"United States","Healthcare","Accidental Loss","Identity Theft",4.8
867,"Thomas L.David , Jr DDS",04/01/13,3269,"United States","Healthcare","Unknown","Identity Theft",4.8
868,"Penn State Harrisburg",03/13/13,808,"United States","Other","Malicious Outsider","Identity Theft",4.8
869,"Ministry Of Education",03/13/13,3400,"New Zealand","Government","Accidental Loss","Identity Theft",4.8
870,"Oregon Health And Science University",03/04/13,4022,"United States","Healthcare","Malicious Outsider","Identity Theft",4.8
871,"Minnesota Dep Of Natural Resources",02/13/13,5000,"United States","Government","Malicious Insider","Identity Theft",4.8
872,"Home Care Of Mid Missouri",02/13/13,4027,"United States","Healthcare","Malicious Outsider","Identity Theft",4.8
873,"Fintrac- Federal Agency",02/13/13,777,"Canada","Government","Malicious Outsider","Identity Theft",4.8
874,"Belize City Special Branch Police",12/02/14,2000,"Belize","Government","Accidental Loss","Existential Data",4.7
875,"Megasea Employment Agency and A&E Employment Centre (10 more Maid agencies )",11/22/14,3000,"Hong Kong","Other","Malicious Insider","Nuisance",4.7
876,"New Hampshire Employment Security",11/12/14,2700,"United States","Government","Accidental Loss","Identity Theft",4.7
877,"Zilveren Kruis",11/04/14,2685,"Netherlands","Healthcare","Accidental Loss","Identity Theft",4.7
878,"Nauru Immigration Detention Centre",09/01/14,200,"Nauru","Government","State Sponsored","Existential Data",4.7
879,"Carrington of Champion Forest apartments",08/03/14,300,"United States","Other","Malicious Outsider","Identity Theft",4.7
880,"Epsom and Helier Hospitals NHS Trust",07/30/14,300,"United Kingdom","Healthcare","Malicious Outsider","Identity Theft",4.7
881,"Office of Alexander J.Tikhtman",07/09/14,2376,"United States","Healthcare","Accidental Loss","Identity Theft",4.7
882,"St. Elizabeth's Medical Center",07/04/14,595,"United States","Healthcare","Malicious Outsider","Identity Theft",4.7
883,"Full Circle Health Care",07/04/14,4000,"United States","Healthcare","Malicious Insider","Identity Theft",4.7
884,"Stanford Federal Credit Union",04/30/14,18000,"United States","Financial","Accidental Loss","Financial Access",4.7
885,"Chipotle Mexican Grill",04/24/14,527,"United States","Retail","Malicious Insider","Financial Access",4.7
886,"Holiday Extras",04/16/14,4852,"United Kingdom","Other","Accidental Loss","Account Access",4.7
887,"LewisGale Regional Health System",04/02/14,400,"United States","Healthcare","Malicious Insider","Identity Theft",4.7
888,"Renfrewshire Council",03/28/14,5354,"United Kingdom","Government","Accidental Loss","Account Access",4.7
889,"ABEO",03/04/14,600,"United States","Healthcare","Malicious Insider","Financial Access",4.7
890,"Yellow Cab Chicago",02/28/14,400,"United States","Other","Malicious Outsider","Financial Access",4.7
891,"American, European and Asian companies",01/22/14,200,"United States","Government","State Sponsored","Existential Data",4.7
892,"Santa Clara Valley Health & Hospital System",09/19/13,559,"United States","Healthcare","Malicious Outsider","Identity Theft",4.7
893,"Bonneville Power Administration",08/26/13,3100,"United States","Other","Malicious Outsider","Identity Theft",4.7
894,"Access Counseling",08/23/13,566,"United States","Financial","Malicious Outsider","Identity Theft",4.7
895,"MNsure",08/19/13,2400,"United States","Financial","Accidental Loss","Identity Theft",4.7
896,"Brookdale University Hospital and Medical Center",08/05/13,2700,"United States","Healthcare","Unknown","Identity Theft",4.7
897,"Islington Council",08/03/13,2375,"United Kingdom","Healthcare","Accidental Loss","Identity Theft",4.7
898,"University of Mississippi Medical Center",07/17/13,2281,"United States","Other","Accidental Loss","Identity Theft",4.7
899,"Aflac",07/04/13,679,"United States","Healthcare","Malicious Outsider","Identity Theft",4.7
900,"San Jose Medical Supply",06/24/13,800,"United States","Healthcare","Malicious Insider","Identity Theft",4.7
901,"Advantage Health Solutions",06/12/13,2575,"United States","Financial","Accidental Loss","Identity Theft",4.7
902,"Independence Care System",05/22/13,2434,"United States","Healthcare","Malicious Outsider","Nuisance",4.7
903,"Telstra",04/17/13,9878,"Australia","Other","Accidental Loss","Nuisance",4.7
904,"Mesquite gas station",04/14/13,400,"United States","Retail","Malicious Outsider","Financial Access",4.7
905,"Hudson Valley Foie Gras",04/14/13,1200,"United States","Retail","Hacktivist","Identity Theft",4.7
906,"Hypoparathyroidism",03/13/13,581,"United Kingdom","Healthcare","Malicious Outsider","Identity Theft",4.7
907,"Glens Falls Hospital",03/13/13,2300,"United States","Healthcare","Accidental Loss","Identity Theft",4.7
908,"Washington Department Of Social And Health Services",03/09/13,652,"United States","Healthcare","Malicious Outsider","Identity Theft",4.7
909,"Datapak",03/05/13,468,"United States","Financial","Malicious Outsider","Financial Access",4.7
910,"Granger Clinic",02/20/13,2600,"United States","Healthcare","Accidental Loss","Identity Theft",4.7
911,"American One Federal Credit Union",01/12/15,300,"United States","Financial","Malicious Outsider","Financial Access",4.6
912,"The State bank",12/23/14,300,"United States","Financial","Malicious Outsider","Financial Access",4.6
913,"Texas A&M University",12/11/14,200,"United States","Education","Malicious Outsider","Existential Data",4.6
914,"nVidia",12/01/14,500,"United States","Technology","Malicious Outsider","Account Access",4.6
915,"Henry Ford West Bloomfield Hospital, DMC Harper Hospital",11/14/14,1400,"United States","Healthcare","Malicious Insider","Nuisance",4.6
916,"Skillsoft",11/07/14,4000,"Canada","Government","Accidental Loss","Account Access",4.6
917,"GE Consumer Finance",11/05/14,300,"United States","Financial","Malicious Insider","Identity Theft",4.6
918,"Philippines's Department of Trade & Industry (DTI)",11/03/14,1900,"Philippines","Government","Hacktivist","Account Access",4.6
919,"Medi-Waste Disposal",10/27/14,2000,"United States","Healthcare","Accidental Loss","Identity Theft",4.6
920,"Moolah Payments",10/24/14,250,"United States","Financial","Malicious Outsider","Identity Theft",4.6
921,"Cone Health",10/09/14,2076,"United States","Healthcare","Accidental Loss","Identity Theft",4.6
922,"Wake County",10/04/14,600,"United States","Government","Malicious Insider","Account Access",4.6
923,"Provo City School District",10/01/14,500,"United States","Education","Malicious Outsider","Account Access",4.6
924,"Pulte Mortgage",09/20/14,247,"United States","Financial","Malicious Outsider","Identity Theft",4.6
925,"Dell",09/09/14,1000,"United States","Technology","Malicious Outsider","Account Access",4.6
926,"Citizenship and Immigration Canada",08/06/14,244,"Canada","Government","Malicious Outsider","Identity Theft",4.6
927,"Aeromorning",08/01/14,1000,"France","Other","Malicious Outsider","Account Access",4.6
928,"Christchurch city council",07/31/14,2000,"United States","Government","Accidental Loss","Identity Theft",4.6
929,"Nexogy Inc, LD Telecommunications",07/25/14,2000,"United States","Retail","Accidental Loss","Identity Theft",4.6
930,"Uxbridge public schools",06/24/14,446,"United States","Education","Malicious Outsider","Identity Theft",4.6
931,"Diagnostic Health",06/15/14,10000,"United Kingdom","Healthcare","Accidental Loss","Identity Theft",4.6
932,"Natwest Bank",05/14/14,230,"United States","Financial","Malicious Outsider","Identity Theft",4.6
933,"WooThemes (WordPress themes)",05/10/14,300,"South Africa","Financial","Malicious Outsider","Financial Access",4.6
934,"Shanghai College",05/08/14,200,"China","Education","Malicious Outsider","Existential Data",4.6
935,"CASS Data and Mailing Services, Tax Collector Mike Fasano",04/25/14,1921,"United States","Financial","Accidental Loss","Identity Theft",4.6
936,"Macon-Bibb County",04/07/14,2000,"United States","Government","Accidental Loss","Identity Theft",4.6
937,"The Kroger Company",04/05/14,504,"United States","Retail","Malicious Outsider","Account Access",4.6
938,"Penn State Hershey Medical Center",03/26/14,1801,"United States","Healthcare","Accidental Loss","Identity Theft",4.6
939,"Johns Hopkins University",03/19/14,2166,"United States","Healthcare","Accidental Loss","Identity Theft",4.6
940,"Hess gas station",02/20/14,342,"United States","Retail","Malicious Outsider","Financial Access",4.6
941,"Hickory Grove, gas station and grocery store",02/17/14,300,"United States","Retail","Malicious Outsider","Financial Access",4.6
942,"Iowa Department of Human Services",01/17/14,2042,"United States","Healthcare","Accidental Loss","Identity Theft",4.6
943,"Cornerstone Health Care, Cornerstone Neurology",01/06/14,548,"United States","Healthcare","Malicious Outsider","Identity Theft",4.6
944,"Chicago Public Schools",12/01/13,2000,"United States","Education","Accidental Loss","Identity Theft",4.6
945,"ATM",11/13/13,300,"United States","Financial","Malicious Outsider","Financial Access",4.6
946,"North Country Hospital",09/20/13,3000,"United States","Healthcare","Malicious Insider","Identity Theft",4.6
947,"Colorado Health & Wellness",09/04/13,651,"United States","Healthcare","Malicious Insider","Account Access",4.6
948,"Rotech Healthcare",08/30/13,10680,"United States","Healthcare","Accidental Loss","Identity Theft",4.6
949,"St. Anthony's nursing home",08/06/13,2600,"United States","Healthcare","Malicious Outsider","Identity Theft",4.6
950,"Young Family Medicine Inc",08/05/13,2045,"United States","Healthcare","Unknown","Identity Theft",4.6
951,"San Francisco State College of Extended Learning",07/24/13,500,"United States","Other","Malicious Outsider","Identity Theft",4.6
952,"Wedgewood Legacy Medical",06/12/13,2125,"United States","Healthcare","Accidental Loss","Identity Theft",4.6
953,"University of Hong Kong",06/05/13,2000,"Hong Kong","Other","Malicious Outsider","Nuisance",4.6
954,"Hostgator",04/14/13,2700,"United States","Technology","Malicious Insider","Nuisance",4.6
955,"California Department of Public Health (CDPH)",04/14/13,2000,"United States","Healthcare","Accidental Loss","Identity Theft",4.6
956,"Anglo American Platinum",03/26/13,522,"United Kingdom","Financial","Hacktivist","Identity Theft",4.6
957,"Facebook Israel, Dan Coorpate, Adidas, Financial Office",03/13/13,19000,"Israel","Technology","Hacktivist","Nuisance",4.6
958,"1st Response Medical Transport Corp",03/13/13,552,"United States","Healthcare","Malicious Outsider","Identity Theft",4.6
959,"Earthquake Commission (EQC)",02/22/13,10000,"New Zealand","Government","Accidental Loss","Identity Theft",4.6
960,"Nanyang Polytechnic�s (NYP)",01/14/15,240,"Singapore","Education","Malicious Outsider","Financial Access",4.5
961,"North Point police station",12/03/14,270,"Hong Kong","Government","Malicious Insider","Identity Theft",4.5
962,"Finalease Car Credit, Thomas Cook Belgium, Mensura",11/14/14,200,"Belgium","Financial","Malicious Outsider","Identity Theft",4.5
963,"Anthem Blue Cross",11/10/14,1464,"United States","Financial","Accidental Loss","Identity Theft",4.5
964,"Speech and Language Therapy Service",11/07/14,180,"United Kingdom","Healthcare","Malicious Outsider","Identity Theft",4.5
965,"Satta Matka Results Guessing",10/20/14,389,"India","Other","Malicious Outsider","Account Access",4.5
966,"Australia's immigration detention system (Asylum Seekers)",10/17/14,200,"Australia","Government","Malicious Outsider","Identity Theft",4.5
967,"Alberta Children's Hospital",10/07/14,247,"Canada","Healthcare","Malicious Insider","Identity Theft",4.5
968,"Department of Social Protection and Health Service Executive",08/15/14,180,"Ireland","Government","Malicious Outsider","Identity Theft",4.5
969,"Colorado state",08/06/14,2000,"United States","Government","Accidental Loss","Financial Access",4.5
970,"Metro Nashville's Health Department (Children Special Services)",07/18/14,1700,"United States","Healthcare","Accidental Loss","Identity Theft",4.5
971,"Modern Gun School",07/13/14,287,"United States","Education","Malicious Outsider","Financial Access",4.5
972,"Metro Public Health Department",07/08/14,1700,"United States","Healthcare","Accidental Loss","Identity Theft",4.5
973,"State of Florida Unemployment Insurance Claims",06/08/14,188,"United States","Government","Malicious Outsider","Identity Theft",4.5
974,"Research Hospital ( Midwest Women�s Healthcare)",05/19/14,1536,"United States","Healthcare","Accidental Loss","Identity Theft",4.5
975,"New Zealand Dental Association (NZDA)",05/12/14,3500,"New Zealand","Healthcare","Accidental Loss","Account Access",4.5
976,"Archdiocese of Portland",04/29/14,200,"United States","Education","Malicious Outsider","Identity Theft",4.5
977,"Carlisle Borough(Paytime, Inc)",04/15/14,200,"United States","Government","Malicious Outsider","Identity Theft",4.5
978,"Jamaica Hospital Medical Center",03/12/14,250,"United States","Healthcare","Malicious Insider","Identity Theft",4.5
979,"Federal National Mortgage Association (Fannie Mae)",02/14/14,1100,"United States","Financial","Malicious Insider","Nuisance",4.5
980,"Seton Northwest Hospital",02/05/14,180,"United States","Healthcare","Malicious Outsider","Identity Theft",4.5
981,"McBroom Clinic, TMA Practice Management Group",01/25/14,2260,"United States","Healthcare","Accidental Loss","Financial Access",4.5
982,"County Public Schools, Risk Solutions International LLC",01/07/14,1300,"United States","Education","Accidental Loss","Existential Data",4.5
983,"University Urology",01/06/14,1144,"United States","Education","Malicious Insider","Nuisance",4.5
984,"UK Government Immigrants Website",10/15/13,1600,"United Kingdom","Government","Accidental Loss","Identity Theft",4.5
985,"The Home Office",10/15/13,1598,"United Kingdom","Government","Accidental Loss","Identity Theft",4.5
986,"Superior HealthPlan",10/09/13,6284,"United States","Healthcare","Accidental Loss","Nuisance",4.5
987,"Public Storage",09/04/13,745,"United States","Retail","Malicious Outsider","Nuisance",4.5
988,"Mount Sinai Medical Center",08/06/13,1586,"United States","Healthcare","Accidental Loss","Identity Theft",4.5
989,"Radnor Township School District",05/25/13,2000,"United States","Education","Malicious Outsider","Identity Theft",4.5
990,"McGowan Institute for Regenerative Medicine",05/15/13,800,"United States","Healthcare","Malicious Outsider","Account Access",4.5
991,"NTT DoCoMo",04/06/13,430,"Japan","Retail","Malicious Outsider","Identity Theft",4.5
992,"Lancaster general medical",04/04/13,527,"United States","Healthcare","Malicious Insider","Identity Theft",4.5
